ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
139,Timber,W_WWD_LWAL_DNO_H1,28.86117,80.76382,0.1006,0.0804,0.922,0.07,0.123,0.005,0.022,0.001,0.008,0.001,0.01,None,0.006
140,Timber,W_WWD_LWAL_DNO_H1,28.78617,83.91382,0.1022,0.0766,0.916,0.076,0.13,0.006,0.018,0.001,0.005,0.001,0.004,None,0.006
141,Timber,W_WWD_LWAL_DNO_H1,29.16117,83.31382,0.0961,0.0682,0.932,0.063,0.112,0.004,0.016,0.001,0.004,0.0,0.003,None,0.005
142,Timber,W_WWD_LWAL_DNO_H1,29.76117,81.58882,0.094,0.0681,0.933,0.062,0.114,0.004,0.014,0.001,0.003,0.0,0.002,None,0.005
143,Timber,W_WWD_LWAL_DNO_H1,27.73617,82.71382,0.0965,0.0816,0.928,0.064,0.119,0.005,0.02,0.001,0.008,0.001,0.015,None,0.006
144,Timber,W_WWD_LWAL_DNO_H1,28.86117,80.98882,0.1038,0.0822,0.915,0.076,0.135,0.007,0.023,0.001,0.007,0.001,0.008,None,0.007
145,Timber,W_WWD_LWAL_DNO_H1,30.21117,81.96382,0.1025,0.0849,0.918,0.073,0.131,0.007,0.025,0.002,0.008,0.001,0.009,None,0.007
146,Timber,W_WWD_LWAL_DNO_H1,28.41117,85.11382,0.0977,0.073,0.926,0.068,0.119,0.005,0.017,0.001,0.005,0.001,0.003,None,0.005
147,Timber,W_WWD_LWAL_DNO_H1,29.83617,81.36382,0.1024,0.0883,0.92,0.07,0.126,0.007,0.027,0.002,0.011,0.002,0.013,None,0.007
148,Timber,W_WWD_LWAL_DNO_H1,28.93617,83.76382,0.0963,0.0743,0.931,0.062,0.118,0.005,0.02,0.001,0.006,0.001,0.006,None,0.005
149,Timber,W_WWD_LWAL_DNO_H1,29.53617,83.01382,0.0961,0.0807,0.932,0.06,0.117,0.005,0.023,0.001,0.009,0.001,0.012,None,0.006
150,Timber,W_WWD_LWAL_DNO_H1,29.91117,81.73882,0.0958,0.0719,0.932,0.062,0.115,0.004,0.018,0.001,0.006,0.001,0.006,None,0.005
151,Timber,W_WWD_LWAL_DNO_H1,27.66117,87.43882,0.0939,0.066,0.934,0.062,0.109,0.004,0.013,0.001,0.003,0.0,0.002,None,0.004
152,Timber,W_WWD_LWAL_DNO_H1,27.51117,88.03882,0.098,0.0691,0.929,0.065,0.112,0.004,0.016,0.001,0.005,0.001,0.004,None,0.005
153,Timber,W_WWD_LWAL_DNO_H1,30.13617,81.73882,0.0949,0.0762,0.931,0.063,0.116,0.005,0.021,0.001,0.007,0.001,0.007,None,0.006
154,Timber,W_WWD_LWAL_DNO_H1,28.93617,83.53882,0.1011,0.0907,0.919,0.07,0.13,0.007,0.029,0.002,0.01,0.002,0.011,None,0.008
155,Timber,W_WWD_LWAL_DNO_H1,27.73617,86.53882,0.0977,0.0787,0.928,0.065,0.115,0.004,0.018,0.001,0.008,0.001,0.015,None,0.006
156,Timber,W_WWD_LWAL_DNO_H1,29.98617,82.33882,0.0947,0.0696,0.934,0.06,0.114,0.004,0.017,0.001,0.005,0.001,0.004,None,0.005
157,Timber,W_WWD_LWAL_DNO_H1,29.46117,81.88882,0.0975,0.0808,0.93,0.062,0.111,0.005,0.024,0.001,0.01,0.001,0.012,None,0.006
158,Timber,W_WWD_LWAL_DNO_H1,27.96117,86.61382,0.0986,0.0764,0.924,0.069,0.126,0.005,0.02,0.001,0.005,0.001,0.004,None,0.006
159,Timber,W_WWD_LWAL_DNO_H1,27.66117,86.91382,0.0979,0.0794,0.926,0.066,0.119,0.005,0.023,0.001,0.008,0.001,0.008,None,0.006
160,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.46117,83.31382,0.1012,0.0788,0.936,0.062,0.106,0.001,0.008,0.0,0.002,0.0,0.001,None,0.004
161,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.23617,83.31382,0.1038,0.0755,0.933,0.065,0.107,0.001,0.006,0.0,0.001,0.0,0.001,None,0.004
162,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.08617,83.53882,0.0985,0.0762,0.939,0.059,0.107,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
163,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.93617,80.68882,0.1012,0.0788,0.936,0.062,0.106,0.001,0.008,0.0,0.002,0.0,0.001,None,0.004
164,RCC_H2 gable roof,CR_LFINF_DUL_H2,29.01117,83.53882,0.1002,0.0829,0.937,0.061,0.111,0.002,0.009,0.0,0.002,0.0,0.001,None,0.004
165,RCC_H2 gable roof,CR_LFINF_DUL_H2,28.78617,81.13882,0.0999,0.0831,0.935,0.063,0.117,0.002,0.008,0.0,0.002,0.0,0.001,None,0.004
166,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.48617,83.98882,0.1002,0.075,0.98,0.018,0.06,0.002,0.009,0.0,0.003,0.0,0.002,None,0.002
167,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.38617,83.23882,0.1015,0.0794,0.978,0.019,0.065,0.002,0.012,0.001,0.004,0.0,0.006,None,0.002
168,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.08617,83.01382,0.0974,0.0728,0.982,0.016,0.056,0.001,0.009,0.0,0.003,0.0,0.003,None,0.001
169,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,83.31382,0.0998,0.0825,0.977,0.019,0.069,0.002,0.015,0.001,0.006,0.001,0.006,None,0.002
170,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,86.91382,0.0968,0.0757,0.983,0.015,0.054,0.002,0.013,0.0,0.006,0.001,0.009,None,0.002
171,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.16382,0.0997,0.0822,0.98,0.017,0.058,0.002,0.016,0.001,0.008,0.001,0.013,None,0.003
172,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,80.61382,0.1002,0.0829,0.978,0.018,0.065,0.002,0.016,0.001,0.007,0.001,0.01,None,0.003
173,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.91382,0.1002,0.075,0.98,0.018,0.06,0.002,0.009,0.0,0.003,0.0,0.002,None,0.002
174,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.28617,82.03882,0.1015,0.0794,0.978,0.019,0.065,0.002,0.012,0.001,0.004,0.0,0.006,None,0.002
175,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.38882,0.0974,0.0728,0.982,0.016,0.056,0.001,0.009,0.0,0.003,0.0,0.003,None,0.001
176,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.86117,80.68882,0.0979,0.0727,0.957,0.042,0.087,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
177,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.71117,83.46382,0.0959,0.0721,0.958,0.04,0.085,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
178,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.13882,0.0969,0.0726,0.956,0.043,0.086,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
179,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.16117,83.08882,0.0928,0.0677,0.963,0.036,0.077,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
180,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.78617,84.13882,0.0988,0.0761,0.953,0.045,0.092,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
181,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.33617,85.11382,0.0955,0.0728,0.96,0.039,0.085,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
182,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,84.06382,0.1036,0.0735,0.952,0.047,0.09,0.001,0.004,0.0,0.001,0.0,0.0,None,0.003
183,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.61117,83.01382,0.0962,0.0724,0.958,0.041,0.082,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
184,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.73617,86.83882,0.1009,0.0817,0.951,0.047,0.099,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
185,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.78617,84.36382,0.1033,0.0761,0.95,0.049,0.094,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
186,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.56117,84.13882,0.0952,0.0729,0.971,0.026,0.067,0.002,0.012,0.0,0.004,0.0,0.003,None,0.002
187,MR_H1 flat roof,MUR_LWAL_DNO_H1,29.01117,83.16382,0.1012,0.072,0.968,0.03,0.069,0.002,0.01,0.0,0.003,0.0,0.002,None,0.002
188,MR_H1 flat roof,MUR_LWAL_DNO_H1,29.23617,83.01382,0.1,0.0791,0.967,0.03,0.067,0.002,0.014,0.001,0.006,0.0,0.007,None,0.003
189,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.86117,82.86382,0.0951,0.071,0.971,0.026,0.066,0.002,0.01,0.0,0.003,0.0,0.002,None,0.002
190,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.56117,85.03882,0.0936,0.0706,0.972,0.026,0.068,0.002,0.009,0.0,0.002,0.0,0.001,None,0.002
191,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.78617,83.31382,0.0955,0.0641,0.973,0.025,0.057,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
192,MR_H1 flat roof,MUR_LWAL_DNO_H1,28.18617,81.88882,0.0918,0.0671,0.975,0.023,0.058,0.001,0.01,0.0,0.003,0.0,0.002,None,0.002
193,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.23882,0.0961,0.0708,0.938,0.057,0.098,0.004,0.015,0.001,0.004,0.0,0.002,None,0.004
194,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.16117,84.13882,0.095,0.0771,0.939,0.055,0.094,0.004,0.015,0.001,0.006,0.001,0.01,None,0.005
195,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,84.21382,0.095,0.0771,0.939,0.055,0.094,0.004,0.015,0.001,0.006,0.001,0.01,None,0.005
196,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.96117,86.83882,0.1008,0.0747,0.928,0.066,0.108,0.005,0.015,0.001,0.003,0.0,0.002,None,0.005
197,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.58882,0.1024,0.0747,0.927,0.066,0.106,0.005,0.016,0.001,0.004,0.0,0.003,None,0.005
198,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.93617,83.31382,0.0945,0.065,0.94,0.056,0.092,0.003,0.011,0.001,0.002,0.0,0.001,None,0.004
199,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.96382,0.0987,0.0776,0.932,0.062,0.106,0.005,0.018,0.001,0.005,0.001,0.004,None,0.005
200,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,82.93882,0.0977,0.0701,0.932,0.063,0.1,0.004,0.012,0.001,0.003,0.0,0.001,None,0.005
201,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,80.98882,0.0956,0.0667,0.937,0.059,0.096,0.003,0.011,0.001,0.002,0.0,0.001,None,0.004
202,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.48617,84.73882,0.1003,0.0812,0.93,0.063,0.108,0.005,0.02,0.001,0.006,0.001,0.005,None,0.005
203,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.06382,0.0967,0.0818,0.937,0.057,0.098,0.005,0.02,0.001,0.008,0.001,0.008,None,0.005
204,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.23617,83.16382,0.0978,0.0757,0.934,0.061,0.102,0.005,0.017,0.001,0.005,0.0,0.003,None,0.005
205,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,84.06382,0.0936,0.0708,0.941,0.054,0.095,0.004,0.016,0.001,0.004,0.0,0.003,None,0.004
206,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.76117,82.63882,0.1024,0.0858,0.929,0.063,0.104,0.005,0.023,0.001,0.008,0.001,0.008,None,0.006
207,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,83.46382,0.0999,0.0784,0.929,0.065,0.112,0.005,0.017,0.001,0.005,0.001,0.003,None,0.005
208,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,83.98882,0.1018,0.0721,0.928,0.066,0.104,0.004,0.014,0.001,0.004,0.0,0.002,None,0.005
209,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.33617,85.03882,0.0906,0.0692,0.945,0.051,0.093,0.004,0.015,0.001,0.004,0.0,0.003,None,0.004
210,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.66117,87.06382,0.1046,0.0838,0.919,0.073,0.114,0.006,0.019,0.001,0.006,0.001,0.005,None,0.006
211,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.88882,0.0988,0.0783,0.931,0.062,0.105,0.005,0.019,0.001,0.005,0.001,0.004,None,0.005
212,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.91382,0.0969,0.072,0.936,0.059,0.101,0.004,0.015,0.001,0.004,0.0,0.002,None,0.005
213,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.01117,83.23882,0.0948,0.0782,0.936,0.058,0.102,0.004,0.018,0.001,0.006,0.001,0.005,None,0.005
214,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.78617,83.98882,0.0998,0.0758,0.846,0.146,0.199,0.006,0.023,0.001,0.004,0.0,0.002,None,0.009
215,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.13617,82.11382,0.0983,0.075,0.851,0.142,0.187,0.006,0.025,0.001,0.006,0.0,0.003,None,0.009
216,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.68882,0.0954,0.0717,0.86,0.134,0.187,0.005,0.022,0.001,0.005,0.0,0.002,None,0.008
217,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,83.91382,0.0991,0.0766,0.847,0.146,0.193,0.006,0.025,0.001,0.007,0.0,0.004,None,0.009
218,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.71117,83.91382,0.0982,0.071,0.848,0.146,0.197,0.005,0.018,0.001,0.003,0.0,0.001,None,0.009
219,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,83.91382,0.0993,0.0745,0.851,0.142,0.19,0.006,0.024,0.001,0.005,0.0,0.002,None,0.009
220,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.83617,81.13882,0.0951,0.0684,0.861,0.133,0.18,0.005,0.021,0.001,0.004,0.0,0.001,None,0.008
221,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.08882,0.0976,0.072,0.851,0.143,0.196,0.005,0.02,0.001,0.004,0.0,0.001,None,0.009
222,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,82.93882,0.098,0.0735,0.854,0.14,0.179,0.005,0.026,0.001,0.007,0.0,0.003,None,0.009
223,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,84.06382,0.0989,0.0791,0.851,0.141,0.189,0.006,0.029,0.001,0.007,0.0,0.004,None,0.009
224,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.23882,0.1043,0.0731,0.833,0.16,0.199,0.006,0.022,0.001,0.004,0.0,0.002,None,0.01
225,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.43617,84.58882,0.1,0.0759,0.843,0.15,0.197,0.006,0.024,0.001,0.005,0.0,0.002,None,0.009
226,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.66117,87.13882,0.102,0.085,0.844,0.147,0.197,0.007,0.03,0.001,0.009,0.001,0.007,None,0.01
227,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.28617,81.81382,0.0948,0.0782,0.859,0.134,0.191,0.006,0.026,0.001,0.007,0.0,0.005,None,0.009
228,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.08617,82.78882,0.0976,0.0737,0.853,0.14,0.186,0.005,0.024,0.001,0.006,0.0,0.004,None,0.009
229,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.73617,82.63882,0.099,0.0786,0.847,0.146,0.201,0.006,0.025,0.001,0.006,0.0,0.004,None,0.009
230,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,82.71382,0.099,0.0786,0.847,0.146,0.201,0.006,0.025,0.001,0.006,0.0,0.004,None,0.009
231,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,84.51382,0.0906,0.0683,0.873,0.121,0.174,0.005,0.021,0.001,0.004,0.0,0.001,None,0.007
232,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,83.01382,0.0952,0.0691,0.854,0.141,0.196,0.005,0.016,0.0,0.002,0.0,0.001,None,0.008
233,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.56117,81.36382,0.0976,0.0718,0.848,0.146,0.198,0.005,0.019,0.001,0.003,0.0,0.001,None,0.009
234,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.23882,0.0958,0.0814,0.861,0.131,0.185,0.006,0.03,0.001,0.009,0.001,0.006,None,0.009
235,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,84.13882,0.1013,0.0822,0.844,0.147,0.19,0.007,0.03,0.001,0.009,0.001,0.006,None,0.01
236,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.21117,82.03882,0.0991,0.0766,0.847,0.146,0.193,0.006,0.025,0.001,0.007,0.0,0.004,None,0.009
237,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.01117,83.01382,0.0951,0.0778,0.862,0.131,0.182,0.006,0.027,0.001,0.008,0.0,0.006,None,0.009
238,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.63882,0.0963,0.0734,0.958,0.041,0.086,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
239,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.08617,83.98882,0.0951,0.0707,0.961,0.038,0.082,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
240,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,88.03882,0.0964,0.0742,0.957,0.041,0.09,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
241,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.96382,0.0947,0.0699,0.961,0.038,0.081,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
242,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.23617,82.78882,0.099,0.0786,0.953,0.045,0.092,0.001,0.007,0.0,0.002,0.0,0.001,None,0.003
243,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.31382,0.0935,0.0677,0.961,0.038,0.077,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
244,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,84.96382,0.0935,0.0729,0.962,0.037,0.08,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
245,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,82.78882,0.0947,0.0675,0.96,0.039,0.074,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
246,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.01117,83.46382,0.0965,0.0689,0.958,0.041,0.079,0.001,0.003,0.0,0.001,0.0,0.0,None,0.002
247,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,81.51382,0.0963,0.0708,0.958,0.041,0.082,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
248,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.53617,83.16382,0.0963,0.0708,0.958,0.041,0.082,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
249,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.93617,83.61382,0.0998,0.0764,0.955,0.044,0.086,0.001,0.007,0.0,0.002,0.0,0.001,None,0.003
250,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.73617,87.13882,0.0938,0.0743,0.959,0.039,0.087,0.001,0.006,0.0,0.001,0.0,0.001,None,0.002
251,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.06117,81.43882,0.0987,0.0754,0.955,0.044,0.088,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
252,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.41117,83.91382,0.0987,0.0754,0.955,0.044,0.088,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
253,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.28617,81.51382,0.0994,0.0709,0.957,0.042,0.08,0.001,0.005,0.0,0.001,0.0,0.0,None,0.002
254,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.98617,82.18882,0.0999,0.0744,0.955,0.044,0.088,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
255,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.16117,82.56382,0.0993,0.0831,0.953,0.045,0.094,0.001,0.009,0.0,0.002,0.0,0.001,None,0.003
256,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.63617,83.68882,0.0957,0.0796,0.956,0.043,0.092,0.001,0.008,0.0,0.002,0.0,0.001,None,0.003
257,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.58882,0.1,0.0743,0.954,0.045,0.085,0.001,0.006,0.0,0.001,0.0,0.001,None,0.003
258,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.31117,83.08882,0.0966,0.0655,0.96,0.039,0.075,0.001,0.003,0.0,0.001,0.0,0.0,None,0.002
259,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.58617,87.51382,0.1022,0.0777,0.952,0.046,0.093,0.001,0.007,0.0,0.001,0.0,0.001,None,0.003
260,RCC_H3 flat roof,CR_LFINF_DUL_H3,29.61117,82.93882,0.0958,0.0778,0.958,0.04,0.089,0.001,0.008,0.0,0.002,0.0,0.001,None,0.002
261,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.48617,84.28882,0.0965,0.0689,0.958,0.041,0.079,0.001,0.003,0.0,0.001,0.0,0.0,None,0.002
262,RCC_H3 flat roof,CR_LFINF_DUL_H3,27.81117,87.13882,0.0992,0.073,0.955,0.044,0.086,0.001,0.005,0.0,0.001,0.0,0.0,None,0.003
263,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.58882,0.0944,0.0679,0.961,0.038,0.078,0.001,0.004,0.0,0.001,0.0,0.0,None,0.002
264,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.96382,0.0997,0.0768,0.954,0.044,0.094,0.001,0.006,0.0,0.001,0.0,0.0,None,0.003
265,RCC_H3 flat roof,CR_LFINF_DUL_H3,30.13617,81.66382,0.1023,0.0815,0.951,0.047,0.094,0.001,0.009,0.0,0.002,0.0,0.001,None,0.003
266,RCC_H3 flat roof,CR_LFINF_DUL_H3,28.33617,81.58882,0.1023,0.0815,0.951,0.047,0.094,0.001,0.009,0.0,0.002,0.0,0.001,None,0.003
267,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.73617,87.21382,0.095,0.0699,0.984,0.014,0.055,0.001,0.007,0.0,0.002,0.0,0.001,None,0.001
268,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.56117,81.43882,0.1025,0.0817,0.978,0.018,0.067,0.002,0.015,0.001,0.006,0.001,0.009,None,0.002
269,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.23617,82.86382,0.0941,0.0677,0.986,0.013,0.048,0.001,0.007,0.0,0.002,0.0,0.002,None,0.001
270,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.38882,0.1002,0.0779,0.98,0.017,0.065,0.002,0.013,0.001,0.004,0.0,0.004,None,0.002
271,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.41117,84.58882,0.0997,0.0768,0.979,0.018,0.067,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
272,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,80.38882,0.0974,0.0739,0.982,0.016,0.057,0.001,0.01,0.0,0.003,0.0,0.003,None,0.002
273,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,81.96382,0.1029,0.091,0.972,0.023,0.076,0.003,0.019,0.001,0.008,0.001,0.01,None,0.003
274,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.11117,85.86382,0.0983,0.0751,0.982,0.015,0.058,0.002,0.013,0.001,0.005,0.0,0.006,None,0.002
275,RCC_H1 flat roof,CR_LFINF_DUL_H1,30.06117,81.28882,0.0991,0.0759,0.981,0.016,0.061,0.002,0.013,0.0,0.004,0.0,0.005,None,0.002
276,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.61117,82.86382,0.0947,0.0651,0.988,0.011,0.042,0.001,0.008,0.0,0.003,0.0,0.003,None,0.001
277,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.98882,0.0968,0.0758,0.983,0.015,0.053,0.002,0.013,0.0,0.006,0.001,0.009,None,0.002
278,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,83.01382,0.1005,0.0776,0.979,0.019,0.065,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
279,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.93617,83.46382,0.1018,0.0922,0.975,0.019,0.07,0.003,0.022,0.001,0.01,0.002,0.013,None,0.004
280,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.96117,86.76382,0.1023,0.0803,0.978,0.019,0.069,0.002,0.014,0.001,0.005,0.001,0.005,None,0.002
281,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.18617,85.71382,0.0948,0.0791,0.979,0.017,0.068,0.002,0.013,0.001,0.004,0.0,0.004,None,0.002
282,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.33617,84.66382,0.0973,0.0776,0.98,0.018,0.062,0.002,0.011,0.0,0.003,0.0,0.003,None,0.002
283,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.31117,82.86382,0.0973,0.0713,0.983,0.015,0.051,0.001,0.006,0.0,0.001,0.0,0.001,None,0.001
284,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.16117,82.63882,0.1006,0.0752,0.981,0.016,0.059,0.002,0.011,0.0,0.004,0.0,0.004,None,0.002
285,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,84.13882,0.1024,0.0841,0.976,0.019,0.068,0.003,0.017,0.001,0.006,0.001,0.007,None,0.003
286,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.71117,83.76382,0.0941,0.0653,0.987,0.012,0.045,0.001,0.005,0.0,0.001,0.0,0.001,None,0.001
287,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.58617,87.06382,0.0955,0.0751,0.983,0.014,0.058,0.002,0.013,0.001,0.005,0.001,0.007,None,0.002
288,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.38617,82.86382,0.1006,0.0863,0.976,0.02,0.068,0.002,0.016,0.001,0.007,0.001,0.012,None,0.003
289,RCC_H1 flat roof,CR_LFINF_DUL_H1,27.81117,86.83882,0.0985,0.0694,0.984,0.015,0.052,0.001,0.007,0.0,0.002,0.0,0.002,None,0.001
290,RCC_H1 flat roof,CR_LFINF_DUL_H1,28.86117,80.83882,0.0996,0.0782,0.98,0.018,0.059,0.002,0.013,0.0,0.005,0.0,0.005,None,0.002
291,RCC_H1 flat roof,CR_LFINF_DUL_H1,29.01117,83.08882,0.0957,0.0689,0.985,0.014,0.05,0.001,0.007,0.0,0.002,0.0,0.001,None,0.001
