ID,BEiT Class,Archetype,Lat,Lon,PGA μ(g),PGA σ(g),P(None),P(DS1) μ,P(DS1) σ,P(DS2) μ,P(DS2) σ,P(DS3) μ,P(DS3) σ,P(DS4) μ,P(DS4) σ,Mean DS,Loss Ratio
34,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.23882,0.0925,0.0723,0.941,0.054,0.094,0.004,0.016,0.001,0.005,0.0,0.004,None,0.004
35,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.16117,84.13882,0.0989,0.0809,0.93,0.063,0.109,0.005,0.019,0.001,0.006,0.001,0.004,None,0.005
36,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,84.21382,0.0914,0.0819,0.94,0.054,0.103,0.005,0.02,0.001,0.007,0.001,0.007,None,0.005
37,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.96117,86.83882,0.0944,0.0696,0.938,0.058,0.101,0.004,0.012,0.001,0.003,0.0,0.001,None,0.004
38,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.58882,0.094,0.0697,0.94,0.055,0.096,0.004,0.014,0.001,0.004,0.0,0.004,None,0.004
39,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.93617,83.31382,0.0966,0.0716,0.934,0.061,0.101,0.004,0.014,0.001,0.004,0.0,0.002,None,0.005
40,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.96382,0.0925,0.0683,0.939,0.056,0.097,0.004,0.012,0.001,0.002,0.0,0.001,None,0.004
41,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,82.93882,0.097,0.0798,0.933,0.06,0.11,0.005,0.019,0.001,0.005,0.001,0.004,None,0.005
42,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.78617,80.98882,0.1016,0.0863,0.928,0.064,0.109,0.006,0.023,0.001,0.007,0.001,0.007,None,0.006
43,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.48617,84.73882,0.0939,0.0749,0.937,0.057,0.106,0.004,0.016,0.001,0.004,0.0,0.002,None,0.005
44,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.73617,87.06382,0.0992,0.0806,0.93,0.063,0.109,0.005,0.019,0.001,0.005,0.001,0.004,None,0.005
45,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.23617,83.16382,0.0891,0.0641,0.946,0.051,0.09,0.003,0.011,0.0,0.002,0.0,0.001,None,0.004
46,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,84.06382,0.0943,0.0748,0.937,0.057,0.107,0.005,0.016,0.001,0.004,0.0,0.002,None,0.005
47,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.76117,82.63882,0.0945,0.0739,0.936,0.058,0.102,0.004,0.016,0.001,0.004,0.0,0.002,None,0.005
48,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.08617,83.46382,0.0955,0.0737,0.932,0.063,0.106,0.004,0.013,0.001,0.003,0.0,0.001,None,0.005
49,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.41117,83.98882,0.0902,0.0629,0.949,0.048,0.085,0.003,0.013,0.001,0.004,0.0,0.003,None,0.003
50,MR_H2 gable roof,MUR_LWAL_DNO_H2,28.33617,85.03882,0.0912,0.0741,0.944,0.05,0.091,0.004,0.018,0.001,0.006,0.001,0.005,None,0.004
51,MR_H2 gable roof,MUR_LWAL_DNO_H2,27.66117,87.06382,0.0887,0.0668,0.948,0.047,0.09,0.003,0.014,0.001,0.004,0.0,0.002,None,0.004
52,MR_H2 gable roof,MUR_LWAL_DNO_H2,30.06117,81.88882,0.0939,0.0778,0.94,0.054,0.101,0.005,0.02,0.001,0.006,0.001,0.004,None,0.005
53,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.31117,83.91382,0.0921,0.0644,0.944,0.052,0.09,0.003,0.012,0.001,0.003,0.0,0.002,None,0.004
54,MR_H2 gable roof,MUR_LWAL_DNO_H2,29.01117,83.23882,0.0971,0.0706,0.935,0.06,0.102,0.004,0.013,0.001,0.003,0.0,0.002,None,0.004
55,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.78617,83.98882,0.0911,0.0651,0.87,0.125,0.174,0.004,0.018,0.0,0.003,0.0,0.001,None,0.007
56,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.13617,82.11382,0.0963,0.0676,0.852,0.143,0.188,0.004,0.017,0.0,0.003,0.0,0.001,None,0.008
57,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.68882,0.0955,0.068,0.855,0.14,0.188,0.005,0.017,0.0,0.003,0.0,0.001,None,0.008
58,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,83.91382,0.1003,0.0853,0.845,0.146,0.201,0.007,0.03,0.001,0.008,0.001,0.006,None,0.01
59,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.71117,83.91382,0.0924,0.0631,0.865,0.131,0.179,0.004,0.015,0.0,0.003,0.0,0.001,None,0.008
60,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.48617,83.91382,0.0931,0.0658,0.864,0.132,0.187,0.004,0.015,0.0,0.002,0.0,0.001,None,0.008
61,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.83617,81.13882,0.0945,0.0727,0.86,0.134,0.185,0.005,0.021,0.001,0.007,0.0,0.006,None,0.008
62,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.23617,83.08882,0.0913,0.0691,0.87,0.124,0.179,0.005,0.02,0.001,0.004,0.0,0.002,None,0.008
63,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.86117,82.93882,0.0907,0.0673,0.874,0.12,0.176,0.004,0.02,0.001,0.004,0.0,0.002,None,0.007
64,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,29.16117,84.06382,0.0967,0.0841,0.856,0.135,0.197,0.007,0.03,0.001,0.008,0.001,0.005,None,0.009
65,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,28.93617,83.23882,0.0905,0.0723,0.874,0.12,0.176,0.005,0.025,0.001,0.006,0.0,0.003,None,0.008
66,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.43617,84.58882,0.0915,0.0728,0.873,0.121,0.176,0.005,0.025,0.001,0.007,0.0,0.005,None,0.008
67,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,27.66117,87.13882,0.09,0.07,0.874,0.121,0.179,0.005,0.022,0.001,0.005,0.0,0.003,None,0.008
68,RCC_H4 gaqble roof,CR_LFINF_DUL_H4,30.28617,81.81382,0.0934,0.0701,0.863,0.131,0.189,0.005,0.019,0.001,0.003,0.0,0.001,None,0.008
