#,,,,,"generated_by='OpenQuake engine 3.20.1', start_date='2024-11-22T04:58:56', checksum=2378174471"
event_id,gmv_PGA,gmv_SA(0.3),gmv_SA(0.6),gmv_SA(1.0),custom_site_id
0,0.110699,0.201719,0.054254,0.0525597,wh1zh8zx
0,0.0646346,0.196491,0.0524863,0.184123,wh1zhc4p
0,0.133532,0.205662,0.154282,0.0306845,wh1zhvfb
0,0.0962383,0.106161,0.0627228,0.0269054,wh1zhu59
0,0.0324311,0.295749,0.207395,0.0229914,wh1zhc5f
0,0.228311,0.163314,0.0481087,0.0496732,wh1zhghs
0,0.108856,0.0717758,0.121391,0.0531194,wh1zhcky
0,0.114239,0.0752503,0.157048,0.0745976,wh1zhfjj
0,0.0360375,0.191918,0.0596696,0.0689275,wh1zhfv4
0,0.0660669,0.0809819,0.0645539,0.0962533,wh1zhcvk
0,0.0585585,0.144148,0.270151,0.0770227,wh1zhcw1
0,0.169523,0.581301,0.063306,0.0305446,wh1zhfnm
0,0.0887022,0.0307374,0.0828158,0.049885,wh1zhgn7
0,0.123889,0.0403902,0.0832441,0.0334056,wh1zhgp1
0,0.0656903,0.602794,0.0621924,0.035439,wh1zhcp5
0,0.0455602,0.161868,0.145093,0.111766,wh1zhgp3
0,0.0773913,0.072061,0.144021,0.0609971,wh1zhgp9
0,0.0287357,0.303498,0.0766228,0.146469,wh1zhgpe
0,0.125891,0.289008,0.165845,0.0407037,wh1zhcrz
0,0.0873732,0.150817,0.0574501,0.0487365,wh1zj50u
0,0.108738,0.172184,0.0202439,0.0452455,wh1zj4c1
0,0.0572084,0.099673,0.103039,0.0219763,wh1zj4ch
0,0.219909,0.053814,0.401088,0.0300297,wh1zj4cp
0,0.15049,0.165244,0.0323981,0.0481417,wh1zj4cc
0,0.113336,0.103747,0.0570186,0.0189367,wh1zj49y
0,0.042874,0.184695,0.0955262,0.112303,wh1zj4fz
0,0.0682335,0.257538,0.156907,0.0231884,wh1zj54c
0,0.0259704,0.0415965,0.0416005,0.0278775,wh1zj55e
0,0.0391338,0.166281,0.0794149,0.0715035,wh1zj5hs
0,0.0957086,0.0927825,0.138723,0.0213737,wh1zj4uy
0,0.106721,0.285397,0.0766027,0.0999129,wh1zj5hc
0,0.216029,0.0970507,0.0551037,0.0666091,wh1zj5jc
0,0.0550834,0.17083,0.0559412,0.0191849,wh1zj4yp
0,0.0592203,0.156498,0.0815554,0.0628329,wh1zj5n3
0,0.0689962,0.12343,0.0906651,0.0569708,wh1zj5ng
0,0.0426686,0.190334,0.179156,0.0707037,wh1zj5ny
0,0.0368552,0.206986,0.116352,0.0821087,wh1zj5pp
0,0.0696879,0.159951,0.125982,0.0658832,wh1zj5pr
0,0.0461969,0.220041,0.328038,0.0531355,wh1zj5px
0,0.0941426,0.510407,0.0820238,0.0354444,wh1zj4zy
0,0.0658055,0.128125,0.0809096,0.0635672,wh1zj5py
0,0.128984,0.148191,0.219956,0.129887,wh1zj6b1
0,0.0993161,0.0387025,0.0622667,0.053426,wh1zj6bc
0,0.0542197,0.238497,0.135703,0.0604268,wh1zj6c8
0,0.12934,0.150053,0.14222,0.0426882,wh1zj6d4
0,0.121628,0.126747,0.0435253,0.0711256,wh1zj6d6
0,0.061377,0.0664448,0.089933,0.234705,wh1zj66x
0,0.0523045,0.303918,0.0572713,0.0260407,wh1zj36f
0,0.0970795,0.12477,0.0554359,0.0286603,wh1zj35p
0,0.03829,0.194379,0.0896499,0.0500374,wh1zj370
0,0.0441433,0.0785754,0.0678726,0.0458329,wh1zj3e1
0,0.0175287,0.418917,0.155182,0.0525057,wh1zj3gk
0,0.117641,0.084372,0.208993,0.0176131,wh1zj3et
0,0.0944733,0.0885702,0.157839,0.0408866,wh1zj3hh
0,0.101104,0.278882,0.0652788,0.053574,wh1zj3hj
0,0.116256,0.32924,0.0661738,0.0537012,wh1zj3sh
0,0.0687372,0.0907882,0.0638341,0.0601332,wh1zj6h3
0,0.0812902,0.140264,0.0491231,0.0670634,wh1zj3hk
0,0.0383875,0.212975,0.244438,0.0587318,wh1zj3kk
0,0.0357471,0.294862,0.0818973,0.0766978,wh1zj3hd
0,0.0949697,0.121888,0.0603102,0.0571356,wh1zj6hf
0,0.070164,0.150537,0.174888,0.050037,wh1zj6jw
0,0.0810726,0.216952,0.0817181,0.0557324,wh1zj3jf
0,0.113209,0.212812,0.0324447,0.0221583,wh1zj3np
0,0.0902257,0.234777,0.0527525,0.0330383,wh1zj3wh
0,0.0796548,0.163559,0.117851,0.0494284,wh1zj3wx
0,0.08023,0.0694373,0.15178,0.0936437,wh1zj6qd
0,0.0540763,0.320821,0.0589156,0.0626685,wh1zj3zp
0,0.02429,0.286073,0.21879,0.0214173,wh1zj2z2
0,0.0668705,0.242737,0.177533,0.0546017,wh1zj6ps
0,0.0462251,0.0691211,0.17787,0.0302846,wh1yvw8p
0,0.0641358,0.090044,0.0610741,0.0691067,wh1zjd0q
0,0.138633,0.219245,0.0360925,0.0839776,wh1zj82s
0,0.0477599,0.0452994,0.185924,0.0548298,wh1zjd0u
0,0.0289279,0.494102,0.0705011,0.0546463,wh1zjd0y
0,0.0525967,0.123596,0.115522,0.0374302,wh1yvw35
0,0.0536504,0.210615,0.146805,0.0442146,wh1yvx15
0,0.0947012,0.30511,0.0485309,0.0918298,wh1zjd15
0,0.0811064,0.12717,0.15339,0.0685269,wh1yvw3e
0,0.119023,0.112603,0.241973,0.0495013,wh1yvw3x
0,0.0959425,0.17602,0.138813,0.0393031,wh1yvw9c
0,0.0640874,0.167212,0.0875967,0.0179337,wh1zjd1z
0,0.127054,0.13018,0.192978,0.0254319,wh1yvw6q
0,0.0418273,0.174347,0.100681,0.0286635,wh1yvw6x
0,0.0227717,0.369556,0.143342,0.0397073,wh1yvw69
0,0.0334708,0.14229,0.16715,0.124169,wh1yvwf9
0,0.106197,0.0898295,0.144652,0.0485697,wh1yvw4z
0,0.0704247,0.124,0.0691775,0.031256,wh1yvwdc
0,0.0409991,0.12638,0.0472691,0.0226744,wh1zj9fc
0,0.0741416,0.0759179,0.0626861,0.0372416,wh1zj9fz
0,0.0404135,0.0831795,0.0971951,0.0825299,wh1yvw5p
0,0.101418,0.199329,0.0974586,0.0403313,wh1yvwej
0,0.0683308,0.115926,0.108812,0.0747963,wh1zj9ej
0,0.0618104,0.407224,0.081896,0.0795877,wh1zj9ep
0,0.0546791,0.098765,0.155725,0.0232299,wh1yvwew
0,0.0905314,0.0689295,0.21663,0.0565071,wh1zj9eu
0,0.0600393,0.224056,0.0638424,0.134963,wh1zj9ev
0,0.0330469,0.301058,0.140451,0.0413196,wh1zj9ev
0,0.0366573,0.104897,0.127164,0.0181315,wh1zj9h8
0,0.215052,0.0911973,0.100522,0.113374,wh1yvwhy
0,0.164886,0.0874686,0.0569103,0.0980728,wh1zj8uz
0,0.101683,0.154025,0.1578,0.0496292,wh1zj9sf
0,0.0511312,0.142088,0.274269,0.0519219,wh1zj9sv
0,0.226101,0.101507,0.137268,0.0298015,wh1zj8uz
0,0.119662,0.0553389,0.224894,0.0843204,wh1yv9th
0,0.104949,0.145199,0.343863,0.0479898,wh1zj9jh
0,0.0690483,0.421545,0.0769654,0.0162428,wh1zj8vr
0,0.0518388,0.188827,0.11933,0.0639612,wh1zj9jm
0,0.0342193,0.148298,0.0928409,0.128499,wh1zj9m2
0,0.161489,0.0719123,0.356729,0.0848969,wh1zj9m6
0,0.0696655,0.100168,0.043951,0.0337603,wh1zj9mk
0,0.045215,0.10803,0.0844968,0.0183737,wh1zj9tk
0,0.0548893,0.229517,0.191942,0.121535,wh1zj9vr
0,0.0839798,0.298505,0.068656,0.119869,wh1zj9md
0,0.0433917,0.32775,0.158019,0.051253,wh1yvdtg
0,0.142218,0.540659,0.0816436,0.0604632,wh1yvsvg
0,0.113367,0.519248,0.326044,0.0454968,wh1zj9mz
0,0.105551,0.405256,0.197093,0.0426545,wh1zj9q4
0,0.0686934,0.0638549,0.0723111,0.0243333,wh1ytxqw
0,0.0923029,0.0795332,0.153454,0.0225963,wh1yv8nt
0,0.0858255,0.111689,0.0762097,0.0315614,wh1yvenw
0,0.0945865,0.163194,0.114506,0.0872259,wh1yvwnx
0,0.033595,0.0706086,0.126514,0.0262809,wh1yttw8
0,0.0670177,0.280894,0.174521,0.0314127,wh1ytxw8
0,0.0266135,0.178734,0.0300745,0.0518547,wh1zj9qx
0,0.0745209,0.160766,0.0614731,0.0303103,wh1yvwnu
0,0.057402,0.0837396,0.135315,0.026836,wh1zj9nz
0,0.0405624,0.103173,0.109147,0.0543444,wh1yttrn
0,0.0353901,0.0833354,0.0969023,0.039718,wh1yvwpp
0,0.0873109,0.286763,0.038327,0.0599176,wh1yttrk
0,0.0422842,0.170109,0.0766923,0.108285,wh1zj9xk
0,0.176385,0.218089,0.18724,0.0260296,wh1zj9xm
0,0.086166,0.111097,0.0326012,0.111097,wh1ytxx8
0,0.0602513,0.125799,0.0845633,0.106841,wh1ytxxb
0,0.0864237,0.130833,0.253411,0.085889,wh1yvwpg
0,0.0233128,0.233703,0.0373381,0.0602507,wh1ytxxf
0,0.21414,0.239377,0.14808,0.0591967,wh1ytxxg
0,0.0728958,0.0920768,0.0657701,0.0598425,wh1zj9pu
0,0.119138,0.381187,0.187956,0.0649277,wh1zjdrc
0,0.0333516,0.0761008,0.147147,0.0139754,wh1ytz84
0,0.0734303,0.318815,0.199409,0.135434,wh1zjbbp
0,0.0738598,0.0699739,0.0606962,0.0550611,wh1zjc04
0,0.187224,0.103072,0.101778,0.0769896,wh1zjc0h
0,0.0853833,0.283421,0.157584,0.0410802,wh1ytv26
0,0.0736336,0.0889376,0.0658915,0.0131874,wh1ytv2k
0,0.0528133,0.135041,0.0640114,0.0502496,wh1ytv2q
0,0.0588425,0.142206,0.0316151,0.0498866,wh1ytz2q
0,0.0773064,0.0995191,0.272751,0.0440273,wh1zjbbr
0,0.0683505,0.209362,0.135307,0.0378019,wh1zjc02
0,0.0226032,0.280114,0.119535,0.032317,wh1zjc0k
0,0.131145,0.297811,0.143531,0.0503415,wh1zjcbm
0,0.15865,0.117002,0.101644,0.0399221,wh1zjf06
0,0.0402088,0.16122,0.0959514,0.151335,wh1ytv88
0,0.0831015,0.102491,0.0921594,0.0281861,wh1ytv8s
0,0.0365704,0.101529,0.122986,0.0373187,wh1ytz0e
0,0.0997559,0.0849214,0.0601242,0.035702,wh1ytz2t
0,0.054047,0.387845,0.20507,0.0527164,wh1ytz2u
0,0.0977173,0.317276,0.16827,0.0493381,wh1ytz2v
0,0.109647,0.242224,0.0786845,0.0615659,wh1ytz2z
0,0.118543,0.157562,0.111642,0.131566,wh1ytz8b
0,0.0360603,0.149513,0.0515357,0.0347696,wh1yvv2y
0,0.170168,0.156699,0.302382,0.0652421,wh1zjf8c
0,0.0491507,0.162153,0.215304,0.0154433,wh1ytz8b
0,0.0265025,0.139189,0.231322,0.0337922,wh1ytz1j
0,0.0830581,0.0787464,0.0765527,0.0468083,wh1ytz1n
0,0.0627915,0.0773914,0.0559843,0.0163026,wh1ytz30
0,0.135161,0.414391,0.0614724,0.0590997,wh1ytz3n
0,0.128706,0.149426,0.0445528,0.0651696,wh1ytz90
0,0.0571422,0.413905,0.0488568,0.0730244,wh1yvg10
0,0.202825,0.0835731,0.0404766,0.0495673,wh1zjccp
0,0.0537641,0.162667,0.379122,0.0565215,wh1zjf9h
0,0.0782654,0.0944339,0.0419001,0.0422407,wh1ytz1j
0,0.0516793,0.103257,0.0510105,0.0175912,wh1ytz30
0,0.189581,0.0502641,0.174432,0.0229913,wh1ytz3n
0,0.0426772,0.0758805,0.112018,0.062744,wh1ytz90
0,0.0278463,0.350803,0.155709,0.224848,wh1ytz94
0,0.0686148,0.115083,0.119881,0.0137228,wh1yvv1j
0,0.309579,0.176751,0.196939,0.0526814,wh1zjf91
0,0.158273,0.144099,0.121347,0.0733319,wh1yvv1m
0,0.114247,0.132162,0.102655,0.0868303,wh1ytz3k
0,0.15953,0.161154,0.138879,0.0529131,wh1ytz97
0,0.160878,0.0903231,0.0916997,0.0593382,wh1ytz9m
0,0.0770393,0.574111,0.0766256,0.065828,wh1zjf1k
0,0.0574803,0.264773,0.0946447,0.09411,wh1ytz1t
0,0.119535,0.226543,0.0561109,0.0246846,wh1ytz3t
0,0.0982157,0.146663,0.163084,0.117343,wh1ytz3w
0,0.0631062,0.0833309,0.067673,0.0156097,wh1ytz98
0,0.0349204,0.356356,0.0539232,0.0887801,wh1ytz9e
0,0.111648,0.11786,0.0645563,0.0206822,wh1zjc3w
0,0.0513034,0.0565316,0.17723,0.0289699,wh1zjc3x
0,0.190514,0.120639,0.076404,0.0106529,wh1ytz3u
0,0.0492685,0.24602,0.130022,0.0446331,wh1zjc9u
0,0.0374776,0.18138,0.183729,0.0375062,wh1zjccf
0,0.133039,0.225576,0.0416765,0.0271318,wh1zjccg
0,0.0407104,0.245527,0.149845,0.0450163,wh1zjccg
0,0.0442429,0.0953779,0.0736008,0.0427033,wh1ytz6j
0,0.0890455,0.36132,0.062211,0.07666,wh1ytz6n
0,0.152059,0.140089,0.133443,0.104002,wh1ytzd5
0,0.0459363,0.190266,0.221055,0.0625772,wh1ytzdj
0,0.0569392,0.0307501,0.0719807,0.0248454,wh1ytzdp
0,0.120842,0.653045,0.1102,0.0358672,wh1ytzf4
0,0.233227,0.106449,0.0699105,0.109323,wh1zjc6n
0,0.0756939,0.0606608,0.106425,0.0218409,wh1yvy6h
0,0.0398142,0.141586,0.117346,0.0421618,wh1zjc4n
0,0.0204821,0.0765535,0.115034,0.123991,wh1zjcfp
0,0.0492319,0.0833481,0.120074,0.132476,wh1ytz6h
0,0.0392847,0.188359,0.051444,0.0432948,wh1ytzd4
0,0.100662,0.130393,0.134166,0.0639617,wh1yvc4n
0,0.0375201,0.351988,0.128055,0.0455804,wh1zjb6h
0,0.0758074,0.113703,0.129381,0.0730885,wh1zjcd5
0,0.101753,0.215819,0.0410912,0.0160766,wh1zjcdh
0,0.0847937,0.141926,0.0898029,0.0256908,wh1zjf41
0,0.0455475,0.193547,0.0851915,0.0579333,wh1yvzfr
0,0.125567,0.175583,0.043302,0.0314051,wh1zjbf2
0,0.105694,0.144801,0.0617424,0.0627882,wh1zjc46
0,0.110246,0.401905,0.0891986,0.0386392,wh1zjc4q
0,0.0383918,0.118106,0.143732,0.0997789,wh1zjf42
0,0.0384199,0.0885331,0.0648479,0.08551,wh1ytz66
0,0.182929,0.203052,0.175887,0.04902,wh1ytz6k
0,0.0656231,0.283173,0.106568,0.0775141,wh1ytz6m
0,0.0560996,0.0544082,0.151884,0.0344086,wh1ytz6q
0,0.0753407,0.142716,0.0954514,0.0491137,wh1ytzd2
0,0.0985349,0.322757,0.0993262,0.0297827,wh1ytzd7
0,0.210405,0.229419,0.118926,0.0943566,wh1yvc6r
0,0.0541504,0.62183,0.23529,0.0853374,wh1yvufm
0,0.178632,0.159347,0.097048,0.105964,wh1yvvf3
0,0.0235259,0.193581,0.10207,0.0975323,wh1yvzfr
0,0.081904,0.110985,0.114119,0.137658,wh1zjb42
0,0.0924803,0.397268,0.14294,0.0311903,wh1zjb4q
0,0.035744,0.12323,0.0408491,0.11835,wh1zjb4q
0,0.0394999,0.22125,0.0999343,0.0541329,wh1zjbdq
0,0.0665556,0.130278,0.0948746,0.0432188,wh1zjc43
0,0.222847,0.165472,0.226955,0.05317,wh1zjc67
0,0.0868758,0.213449,0.0964674,0.0380732,wh1zjcd6
0,0.183451,0.152561,0.0927988,0.0347276,wh1zjcfr
0,0.125288,0.331604,0.280064,0.0318524,wh1zjf42
0,0.0724368,0.135204,0.0916316,0.0214595,wh1yvgdk
0,0.121885,0.191407,0.0572132,0.0489045,wh1yvgdm
0,0.021941,0.119763,0.0617964,0.101537,wh1yvgdr
0,0.0364581,0.132875,0.0451511,0.0599574,wh1yvgf2
0,0.133202,0.138234,0.0172524,0.0502719,wh1yvzfm
0,0.123806,0.0762203,0.0882091,0.0437143,wh1zjb4q
0,0.0486912,0.0683331,0.151809,0.0461478,wh1zjb4r
0,0.0788402,0.195693,0.141754,0.0299821,wh1zjbdm
0,0.0893673,0.194082,0.0328689,0.0855577,wh1yvgds
0,0.146989,0.194734,0.108776,0.0293751,wh1yvzde
0,0.0881997,0.0447118,0.0532342,0.06865,wh1yvzfd
0,0.0660863,0.11566,0.248523,0.0743447,wh1yvzfd
0,0.062244,0.0910553,0.0549516,0.0545496,wh1yvzft
0,0.0674177,0.239167,0.118633,0.0936278,wh1zjb49
0,0.0952001,0.288859,0.0746618,0.0350315,wh1zjb4x
0,0.146684,0.100378,0.121426,0.0987082,wh1zjb4x
0,0.0703005,0.195988,0.0855803,0.0701547,wh1zjb6d
0,0.0501186,0.0769684,0.148959,0.0802847,wh1zjb6t
0,0.0490172,0.105637,0.0628351,0.062702,wh1zjbf9
0,0.111371,0.0785472,0.213157,0.0891242,wh1zjfds
0,0.131469,0.109326,0.0995107,0.20892,wh1ytzdt
0,0.0362801,0.20184,0.150597,0.0439054,wh1ytzfd
0,0.0312298,0.342417,0.184282,0.0842871,wh1yvbfs
0,0.088189,0.0933078,0.533734,0.0732088,wh1yvc4x
0,0.0402258,0.161335,0.0621813,0.0454279,wh1yvzde
0,0.131699,0.207482,0.0698373,0.115911,wh1zjb4t
0,0.0560603,0.409851,0.0653631,0.0414877,wh1zjb4w
0,0.0399036,0.178629,0.0668387,0.0537061,wh1zjbd9
0,0.174861,0.101906,0.110631,0.0230845,wh1zjbde
0,0.0421218,0.182962,0.416637,0.0310147,wh1zjbde
0,0.0535595,0.114248,0.385439,0.0882619,wh1zjbfd
0,0.0408524,0.488244,0.101535,0.0415281,wh1zjc4x
0,0.0367549,0.129525,0.120622,0.04135,wh1zjc6t
0,0.0225185,0.200889,0.185524,0.0321296,wh1zjf69
0,0.0291224,0.0463968,0.238745,0.0480598,wh1zjbd9
0,0.0430544,0.12991,0.059561,0.0815226,wh1zjbdc
0,0.0293328,0.306414,0.103896,0.104862,wh1ytzdf
0,0.0880322,0.18214,0.177255,0.020565,wh1ytzdg
